武将ID,武将,胜率,出场排名,禁用排名,出场得分,禁用得分,偏好得分,胜率系数,原始推荐指数,推荐分,评级,推荐排序,状态,异常原因
121,鲁仲连,54.66%,21,33,0.87421384,0.79874214,1.25855385,0.65903572,0.45336750,88,S,16,有效,
122,袁术,56.38%,13,29,0.92452830,0.82389937,1.32669989,0.69656633,0.52102702,100,S,8,有效,
123,庞统,55.49%,46,73,0.71698113,0.54716981,0.98522606,0.67743305,0.37035396,72,A,28,有效,
124,君王后,54.96%,75,51,0.53459119,0.68553459,0.84281872,0.66574443,0.30838159,59,B,46,有效,
125,高渐离,52.23%,44,23,0.72955975,0.86163522,1.12125707,0.60252569,0.35285867,68,A,32,有效,
126,巴清,55.58%,65,13,0.59748428,0.92452830,0.99139670,0.67939656,0.37435993,72,A,26,有效,
127,刘表,39.16%,152,98,0.05031447,0.38993711,0.28709307,0.29090351,0.03270502,3,D,143,有效,
128,刘协,40.39%,156,125,0.02515723,0.22012579,0.24435347,0.31691191,0.03127742,3,D,146,有效,
129,王翦,43.47%,86,153,0.46540881,0.04402516,0.58492544,0.38698582,0.09839776,16,D,94,有效,
130,嬴政,66.76%,4,19,0.98113208,0.88679245,1.42160911,0.86634253,0.82221645,100,S,1,有效,
132,孟获,41.22%,133,40,0.16981132,0.75471698,0.46258455,0.33514627,0.06390480,9,D,127,有效,
133,太子丹,45.68%,115,119,0.28301887,0.25786164,0.48139314,0.44053280,0.09687333,16,D,96,有效,
134,祝融夫人,44.39%,141,53,0.11949686,0.67295597,0.39505953,0.40902438,0.07172935,11,D,101,有效,
135,尉缭,43.96%,60,86,0.62893082,0.46540881,0.86676951,0.39867236,0.15190688,27,C,77,有效,
136,白起,72.73%,77,8,0.52201258,0.95597484,0.91281990,0.92172365,0.61192673,100,S,3,有效,
137,李信,38.88%,91,127,0.43396226,0.20754717,0.60395158,0.28516170,0.06696064,10,D,126,有效,
138,张梁,41.75%,85,93,0.47169811,0.42138365,0.69900320,0.34705718,0.10128303,17,D,111,有效,
139,张宝,46.09%,48,124,0.70440252,0.22641509,0.84995847,0.45066109,0.17654461,32,C,68,有效,
140,桑弘羊,51.22%,117,64,0.27044025,0.60377358,0.54204343,0.57810523,0.16050204,29,C,74,有效,
141,项燕,43.73%,107,137,0.33333333,0.14465409,0.50041929,0.39317157,0.08603905,14,D,99,有效,
142,卢莫愁,41.75%,128,138,0.20125786,0.13836478,0.38598157,0.34705718,0.05592733,8,D,129,有效,
143,凌统,41.73%,96,147,0.40251572,0.08176101,0.54335272,0.34660410,0.07858939,12,D,117,有效,
144,公孙瓒,39.22%,94,110,0.41509434,0.31446541,0.61573514,0.29214273,0.07054993,11,D,123,有效,
145,侯嬴,46.56%,149,82,0.06918239,0.49056604,0.31797793,0.46232156,0.06844695,10,D,102,有效,
146,朱亥,31.62%,151,91,0.05660377,0.43396226,0.29850481,0.16178586,0.01527052,0,D,155,有效,
147,霍光,33.11%,150,129,0.06289308,0.19496855,0.27471619,0.18302287,0.01664749,0,D,154,有效,
148,平阳公主,58.80%,67,111,0.58490566,0.30817610,0.77084372,0.74516701,0.33775150,65,A,37,有效,
149,王异,55.36%,8,12,0.95597484,0.93081761,1.41379692,0.67458579,0.52798344,100,S,6,有效,
150,黄月英,45.01%,12,140,0.93081761,0.12578616,1.00406629,0.42409139,0.19165972,35,C,65,有效,
151,刘弗陵,,,,,,,,,,,,数据不足,缺少出场排名；缺少禁用排名；缺少胜率
152,赵婕妤,55.37%,83,112,0.48427673,0.30188679,0.67608876,0.67480527,0.25261359,48,B,55,有效,
153,李夫人,40.43%,137,102,0.14465409,0.36477987,0.37330802,0.31777845,0.04796180,6,D,133,有效,
154,司马相如,41.27%,95,136,0.40880503,0.15094340,0.56682093,0.33626130,0.07866060,12,D,116,有效,
155,卓文君,50.29%,82,150,0.49056604,0.06289308,0.61108342,0.55527318,0.17064314,31,C,70,有效,
156,魏咎,35.18%,155,87,0.03144654,0.45911950,0.27684427,0.21602212,0.02103922,1,D,152,有效,
157,庞煖,42.33%,111,154,0.30817610,0.03773585,0.45496618,0.36031436,0.06939193,11,D,124,有效,
158,李牧,51.77%,19,104,0.88679245,0.35220126,1.06958585,0.59145898,0.32750538,63,A,41,有效,
159,赵奢,72.35%,34,131,0.79245283,0.18238994,0.91001543,0.91893768,0.60502504,100,S,4,有效,
160,陈宫,52.34%,38,67,0.76729560,0.58490566,1.05184526,0.60515707,0.33316064,64,A,40,有效,
161,贾诩,38.27%,148,109,0.07547170,0.32075472,0.30213599,0.27289178,0.03155378,3,D,144,有效,
162,郑国,41.64%,124,62,0.22641509,0.61635220,0.49858787,0.34456870,0.07153659,11,D,121,有效,
163,韩娥,58.27%,22,54,0.86792453,0.66666667,1.19245283,0.73497260,0.51069003,100,S,9,有效,
164,徐盛,55.70%,64,56,0.60377358,0.65408805,0.90639611,0.68200471,0.34431869,66,A,35,有效,
165,吕蒙,56.01%,39,75,0.76100629,0.53459119,1.02499506,0.68868956,0.39537649,77,A,23,有效,
166,郭舍人,32.52%,158,130,0.01257862,0.18867925,0.22988015,0.17436529,0.01303503,0,D,159,有效,
167,刘据,30.10%,153,156,0.04402516,0.02515723,0.23817887,0.14221665,0.01019577,0,D,160,有效,
168,司马炎,63.85%,5,11,0.97484277,0.93710692,1.43899767,0.82892108,0.76161270,100,S,2,有效,
169,羊祜,30.03%,140,120,0.12578616,0.25157233,0.33844389,0.14136484,0.01436757,0,D,156,有效,
170,魏延,47.71%,112,145,0.30188679,0.09433962,0.46233535,0.49100097,0.10830509,18,D,91,有效,
171,刘禅,36.91%,125,158,0.22012579,0.01257862,0.37846604,0.24675400,0.03446951,4,D,142,有效,
172,郭解,34.50%,136,151,0.15094340,0.05660377,0.32983268,0.20472831,0.02329650,1,D,150,有效,
173,主父偃,57.07%,84,90,0.47798742,0.44025157,0.71058898,0.71094950,0.28831358,55,B,50,有效,
174,傅玄,42.59%,93,157,0.42138365,0.01886792,0.54217396,0.36632855,0.08458962,14,D,114,有效,
175,陆机,37.45%,120,155,0.25157233,0.03144654,0.40756695,0.25692744,0.03921582,4,D,138,有效,
176,张华,51.42%,126,159,0.21383648,0.00628931,0.37223607,0.58297545,0.11158371,19,D,90,有效,
177,荀勖,32.57%,154,160,0.03773585,0.00000000,0.23018868,0.17508627,0.01312665,0,D,158,有效,
178,杜预,,,,,,,,,,,,数据不足,缺少出场排名；缺少禁用排名；缺少胜率
179,王元姬,,,,,,,,,,,,数据不足,缺少出场排名；缺少禁用排名；缺少胜率
180,乐广,,,,,,,,,,,,数据不足,缺少出场排名；缺少禁用排名；缺少胜率
181,卫玠,,,,,,,,,,,,数据不足,缺少出场排名；缺少禁用排名；缺少胜率
